price,review_score,count,review_categ,count_categ,price_categ,Discount,cluster,Action_Need
109.9,5,1,Satisfied,1,3,20,0,Need_advertisement
99.85714285714286,4,7,Good,1,3,20,7,Reasonable
24.9,4,1,Good,1,1,20,1,Need_advertisement
9.9,5,1,Satisfied,1,1,20,1,Need_advertisement
130.0,5,1,Satisfied,1,3,20,0,Need_advertisement
208.69,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
55.9,5,1,Satisfied,1,2,20,4,Reasonable
289.9,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
15.89,5,3,Satisfied,1,1,20,1,Need_advertisement
99.99,5,1,Satisfied,1,3,20,0,Need_advertisement
99.99,2,2,Not Satisfied,1,3,40,5,Not_Reasonable
20.4,3,2,Not Bad,1,1,20,2,Quality_Improvment
280.0,5,10,Satisfied,1,4,10,6,Need_advertisement
1502.93,5,1,Satisfied,1,4,10,6,Need_advertisement
13.99,5,5,Satisfied,1,1,20,1,Need_advertisement
179.98,4,1,Good,1,4,10,3,Reasonable
759.9,5,1,Satisfied,1,4,10,6,Need_advertisement
27.3,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
129.99,3,5,Not Bad,1,3,20,7,Reasonable
74.9,4,2,Good,1,2,20,4,Reasonable
44.9,1,2,Not Satisfied,1,2,50,2,Quality_Improvment
177.9,5,3,Satisfied,1,4,10,6,Need_advertisement
9.99,4,3,Good,1,1,20,1,Need_advertisement
59.9,3,3,Not Bad,1,2,20,2,Quality_Improvment
87.9,4,2,Good,1,3,20,7,Reasonable
149.0,5,2,Satisfied,1,3,20,0,Need_advertisement
24.9,5,1,Satisfied,1,1,20,1,Need_advertisement
119.98999999999998,4,5,Good,1,3,20,7,Reasonable
59.9,4,1,Good,1,2,20,4,Reasonable
35.0,5,3,Satisfied,1,1,20,1,Need_advertisement
65.0,5,1,Satisfied,1,2,20,4,Reasonable
48.99,3,2,Not Bad,1,2,20,2,Quality_Improvment
99.9,5,1,Satisfied,1,3,20,0,Need_advertisement
35.09,4,1,Good,1,1,20,1,Need_advertisement
99.90000000000002,3,3,Not Bad,1,3,20,7,Reasonable
678.4714285714286,4,7,Good,1,4,10,3,Reasonable
31.58,4,1,Good,1,1,20,1,Need_advertisement
69.9,2,2,Not Satisfied,1,2,50,2,Quality_Improvment
22.9,4,1,Good,1,1,20,1,Need_advertisement
55.5,3,5,Not Bad,1,2,20,2,Quality_Improvment
24.3,2,2,Not Satisfied,1,1,50,2,Quality_Improvment
49.0,4,2,Good,1,2,20,4,Reasonable
11.662857142857144,5,7,Satisfied,1,1,20,1,Need_advertisement
299.08,4,1,Good,1,4,10,3,Reasonable
84.9,5,2,Satisfied,1,3,20,0,Need_advertisement
49.9,5,1,Satisfied,1,2,20,4,Reasonable
40.5,5,1,Satisfied,1,2,20,4,Reasonable
158.99,1,2,Not Satisfied,1,4,25,5,Not_Reasonable
29.0,3,3,Not Bad,1,1,20,2,Quality_Improvment
169.9,5,1,Satisfied,1,4,10,6,Need_advertisement
265.99,3,1,Not Bad,1,4,20,3,Reasonable
52.7,5,1,Satisfied,1,2,20,4,Reasonable
119.49,5,1,Satisfied,1,3,20,0,Need_advertisement
287.4,3,8,Not Bad,1,4,20,3,Reasonable
69.99,4,15,Good,1,2,20,4,Reasonable
13.5,3,1,Not Bad,1,1,20,2,Quality_Improvment
139.0,5,1,Satisfied,1,3,20,0,Need_advertisement
199.0,5,1,Satisfied,1,4,10,6,Need_advertisement
33.9,2,2,Not Satisfied,1,1,50,2,Quality_Improvment
74.9,5,1,Satisfied,1,2,20,4,Reasonable
36.596666666666664,4,18,Good,1,1,20,1,Need_advertisement
199.9,5,1,Satisfied,1,4,10,6,Need_advertisement
699.99,2,1,Not Satisfied,1,4,25,5,Not_Reasonable
89.99,5,1,Satisfied,1,3,20,0,Need_advertisement
169.9,4,2,Good,1,4,10,3,Reasonable
15.315384615384616,4,65,Good,1,1,20,1,Need_advertisement
43.23333333333333,5,3,Satisfied,1,2,20,4,Reasonable
26.0,5,2,Satisfied,1,1,20,1,Need_advertisement
14.735,2,2,Not Satisfied,1,1,50,2,Quality_Improvment
219.99,4,2,Good,1,4,10,3,Reasonable
29.9,5,1,Satisfied,1,1,20,1,Need_advertisement
62.7,4,5,Good,1,2,20,4,Reasonable
74.9,4,2,Good,1,2,20,4,Reasonable
305.0,5,1,Satisfied,1,4,10,6,Need_advertisement
24.9,5,1,Satisfied,1,1,20,1,Need_advertisement
18.32,1,2,Not Satisfied,1,1,50,2,Quality_Improvment
208.9,5,3,Satisfied,1,4,10,6,Need_advertisement
79.56,5,1,Satisfied,1,3,20,0,Need_advertisement
21.99,1,2,Not Satisfied,1,1,50,2,Quality_Improvment
100.19473684210527,5,19,Satisfied,1,3,20,0,Need_advertisement
46.9,5,1,Satisfied,1,2,20,4,Reasonable
69.9,5,1,Satisfied,1,2,20,4,Reasonable
39.5,5,1,Satisfied,1,1,20,1,Need_advertisement
136.5,4,1,Good,1,3,20,7,Reasonable
63.0,3,5,Not Bad,1,2,20,2,Quality_Improvment
54.9,4,1,Good,1,2,20,4,Reasonable
21.99,5,2,Satisfied,1,1,20,1,Need_advertisement
27.95,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
152.25,5,1,Satisfied,1,3,20,0,Need_advertisement
120.9,4,1,Good,1,3,20,7,Reasonable
14.101923076923075,4,26,Good,1,1,20,1,Need_advertisement
203.875,4,8,Good,1,4,10,3,Reasonable
1654.44,5,1,Satisfied,1,4,10,6,Need_advertisement
118.8,5,1,Satisfied,1,3,20,0,Need_advertisement
199.0,5,1,Satisfied,1,4,10,6,Need_advertisement
139.9,4,1,Good,1,3,20,7,Reasonable
53.714285714285715,5,7,Satisfied,1,2,20,4,Reasonable
49.9,5,1,Satisfied,1,2,20,4,Reasonable
110.0,4,1,Good,1,3,20,7,Reasonable
59.9,4,1,Good,1,2,20,4,Reasonable
16.49,5,2,Satisfied,1,1,20,1,Need_advertisement
40.0,2,1,Not Satisfied,1,2,50,2,Quality_Improvment
88.0,1,1,Not Satisfied,1,3,40,5,Not_Reasonable
49.9,5,1,Satisfied,1,2,20,4,Reasonable
64.99,5,1,Satisfied,1,2,20,4,Reasonable
84.9,5,2,Satisfied,1,3,20,0,Need_advertisement
119.9,4,2,Good,1,3,20,7,Reasonable
69.9,1,1,Not Satisfied,1,2,50,2,Quality_Improvment
269.9,5,1,Satisfied,1,4,10,6,Need_advertisement
74.9,5,1,Satisfied,1,2,20,4,Reasonable
286.0,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
119.9,4,2,Good,1,3,20,7,Reasonable
56.5,5,2,Satisfied,1,2,20,4,Reasonable
102.4,4,4,Good,1,3,20,7,Reasonable
129.9,5,1,Satisfied,1,3,20,0,Need_advertisement
7.12,4,1,Good,1,1,20,1,Need_advertisement
359.98,5,2,Satisfied,1,4,10,6,Need_advertisement
99.0,5,1,Satisfied,1,3,20,0,Need_advertisement
89.9,2,1,Not Satisfied,1,3,40,5,Not_Reasonable
35.0,5,1,Satisfied,1,1,20,1,Need_advertisement
239.0,5,1,Satisfied,1,4,10,6,Need_advertisement
23.7,5,1,Satisfied,1,1,20,1,Need_advertisement
199.9,4,1,Good,1,4,10,3,Reasonable
8.03,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
78.0,5,1,Satisfied,1,2,20,4,Reasonable
34.9,4,1,Good,1,1,20,1,Need_advertisement
54.9,5,1,Satisfied,1,2,20,4,Reasonable
19.9,5,1,Satisfied,1,1,20,1,Need_advertisement
139.99,4,1,Good,1,3,20,7,Reasonable
28.78,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
119.85,5,2,Satisfied,1,3,20,0,Need_advertisement
159.9,5,4,Satisfied,1,4,10,6,Need_advertisement
175.4,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
199.75,4,1,Good,1,4,10,3,Reasonable
94.9,5,1,Satisfied,1,3,20,0,Need_advertisement
680.0,5,1,Satisfied,1,4,10,6,Need_advertisement
389.0,5,3,Satisfied,1,4,10,6,Need_advertisement
102.65,4,16,Good,1,3,20,7,Reasonable
54.9,5,1,Satisfied,1,2,20,4,Reasonable
99.0,5,1,Satisfied,1,3,20,0,Need_advertisement
24.89,3,2,Not Bad,1,1,20,2,Quality_Improvment
114.9,2,1,Not Satisfied,1,3,40,5,Not_Reasonable
178.61,4,6,Good,1,4,10,3,Reasonable
20.925,4,10,Good,1,1,20,1,Need_advertisement
229.9,5,1,Satisfied,1,4,10,6,Need_advertisement
179.0,4,2,Good,1,4,10,3,Reasonable
121.55,5,2,Satisfied,1,3,20,0,Need_advertisement
199.9,5,1,Satisfied,1,4,10,6,Need_advertisement
56.0,4,6,Good,1,2,20,4,Reasonable
271.625,3,8,Not Bad,1,4,20,3,Reasonable
319.9,5,1,Satisfied,1,4,10,6,Need_advertisement
113.0,3,1,Not Bad,1,3,20,7,Reasonable
24.41,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
44.5,5,1,Satisfied,1,2,20,4,Reasonable
28.96,5,1,Satisfied,1,1,20,1,Need_advertisement
39.99,3,1,Not Bad,1,2,20,2,Quality_Improvment
69.4,3,1,Not Bad,1,2,20,2,Quality_Improvment
63.589999999999996,2,5,Not Satisfied,1,2,50,2,Quality_Improvment
34.99,3,3,Not Bad,1,1,20,2,Quality_Improvment
84.9,4,4,Good,1,3,20,7,Reasonable
45.05,4,2,Good,1,2,20,4,Reasonable
71.82,4,1,Good,1,2,20,4,Reasonable
84.9,4,3,Good,1,3,20,7,Reasonable
12.99,5,1,Satisfied,1,1,20,1,Need_advertisement
52.91428571428571,3,7,Not Bad,1,2,20,2,Quality_Improvment
36.0,4,1,Good,1,1,20,1,Need_advertisement
269.0,3,1,Not Bad,1,4,20,3,Reasonable
45.99,5,2,Satisfied,1,2,20,4,Reasonable
240.5,5,2,Satisfied,1,4,10,6,Need_advertisement
349.9,5,1,Satisfied,1,4,10,6,Need_advertisement
48.82857142857143,4,14,Good,1,2,20,4,Reasonable
142.0,4,1,Good,1,3,20,7,Reasonable
104.0,5,1,Satisfied,1,3,20,0,Need_advertisement
169.0,5,1,Satisfied,1,4,10,6,Need_advertisement
103.0,5,1,Satisfied,1,3,20,0,Need_advertisement
636.0,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
60.5,5,1,Satisfied,1,2,20,4,Reasonable
34.9,5,1,Satisfied,1,1,20,1,Need_advertisement
213.5,4,2,Good,1,4,10,3,Reasonable
21.99,4,5,Good,1,1,20,1,Need_advertisement
99.9,5,1,Satisfied,1,3,20,0,Need_advertisement
439.9,4,1,Good,1,4,10,3,Reasonable
419.0,3,1,Not Bad,1,4,20,3,Reasonable
57.99,1,1,Not Satisfied,1,2,50,2,Quality_Improvment
39.0,2,4,Not Satisfied,1,1,50,2,Quality_Improvment
149.9,5,1,Satisfied,1,3,20,0,Need_advertisement
250.0,4,1,Good,1,4,10,3,Reasonable
259.9,5,1,Satisfied,1,4,10,6,Need_advertisement
19.89,4,1,Good,1,1,20,1,Need_advertisement
85.0,4,4,Good,1,3,20,7,Reasonable
533.0,5,1,Satisfied,1,4,10,6,Need_advertisement
131.25,4,1,Good,1,3,20,7,Reasonable
29.0,4,11,Good,1,1,20,1,Need_advertisement
239.0,5,3,Satisfied,1,4,10,6,Need_advertisement
116.94,1,2,Not Satisfied,1,3,40,5,Not_Reasonable
57.0,5,3,Satisfied,1,2,20,4,Reasonable
153.9,5,1,Satisfied,1,3,20,0,Need_advertisement
29.99,5,1,Satisfied,1,1,20,1,Need_advertisement
18.7,4,1,Good,1,1,20,1,Need_advertisement
68.0,4,1,Good,1,2,20,4,Reasonable
18.1,5,5,Satisfied,1,1,20,1,Need_advertisement
118.58,5,1,Satisfied,1,3,20,0,Need_advertisement
54.0,1,1,Not Satisfied,1,2,50,2,Quality_Improvment
13.9,5,1,Satisfied,1,1,20,1,Need_advertisement
139.9,5,1,Satisfied,1,3,20,0,Need_advertisement
27.9,4,1,Good,1,1,20,1,Need_advertisement
31.99,5,6,Satisfied,1,1,20,1,Need_advertisement
45.0,5,1,Satisfied,1,2,20,4,Reasonable
79.99,5,1,Satisfied,1,3,20,0,Need_advertisement
179.9,4,2,Good,1,4,10,3,Reasonable
759.05,5,1,Satisfied,1,4,10,6,Need_advertisement
48.0,4,1,Good,1,2,20,4,Reasonable
699.99,5,1,Satisfied,1,4,10,6,Need_advertisement
142.9,1,2,Not Satisfied,1,3,40,5,Not_Reasonable
67.9,4,5,Good,1,2,20,4,Reasonable
87.37948717948719,4,39,Good,1,3,20,7,Reasonable
12.0,5,1,Satisfied,1,1,20,1,Need_advertisement
65.78,4,1,Good,1,2,20,4,Reasonable
115.56333333333333,4,3,Good,1,3,20,7,Reasonable
19.9,5,1,Satisfied,1,1,20,1,Need_advertisement
65.9,5,1,Satisfied,1,2,20,4,Reasonable
49.99,5,1,Satisfied,1,2,20,4,Reasonable
359.7,5,2,Satisfied,1,4,10,6,Need_advertisement
49.99,5,2,Satisfied,1,2,20,4,Reasonable
15.99,4,1,Good,1,1,20,1,Need_advertisement
49.9,5,1,Satisfied,1,2,20,4,Reasonable
25.9,1,2,Not Satisfied,1,1,50,2,Quality_Improvment
24.75,4,2,Good,1,1,20,1,Need_advertisement
6.5,5,3,Satisfied,1,1,20,1,Need_advertisement
189.94,3,2,Not Bad,1,4,20,3,Reasonable
505.0,5,8,Satisfied,1,4,10,6,Need_advertisement
39.9,5,3,Satisfied,1,1,20,1,Need_advertisement
105.0,4,8,Good,1,3,20,7,Reasonable
39.9,5,2,Satisfied,1,1,20,1,Need_advertisement
152.5,4,2,Good,1,3,20,7,Reasonable
59.9,4,1,Good,1,2,20,4,Reasonable
12.9,5,1,Satisfied,1,1,20,1,Need_advertisement
28.99,4,2,Good,1,1,20,1,Need_advertisement
199.0,5,1,Satisfied,1,4,10,6,Need_advertisement
69.9,3,5,Not Bad,1,2,20,2,Quality_Improvment
69.9,5,2,Satisfied,1,2,20,4,Reasonable
44.9,3,1,Not Bad,1,2,20,2,Quality_Improvment
119.85,5,1,Satisfied,1,3,20,0,Need_advertisement
171.39,5,2,Satisfied,1,4,10,6,Need_advertisement
250.0,5,3,Satisfied,1,4,10,6,Need_advertisement
189.0,5,2,Satisfied,1,4,10,6,Need_advertisement
174.0,5,1,Satisfied,1,4,10,6,Need_advertisement
89.0,5,1,Satisfied,1,3,20,0,Need_advertisement
59.9,3,1,Not Bad,1,2,20,2,Quality_Improvment
37.88,5,1,Satisfied,1,1,20,1,Need_advertisement
44.24,5,1,Satisfied,1,2,20,4,Reasonable
52.4,5,2,Satisfied,1,2,20,4,Reasonable
22.0,4,1,Good,1,1,20,1,Need_advertisement
110.0,5,3,Satisfied,1,3,20,0,Need_advertisement
175.73761904761906,3,21,Not Bad,1,4,20,3,Reasonable
79.0,3,3,Not Bad,1,2,20,2,Quality_Improvment
64.99,3,2,Not Bad,1,2,20,2,Quality_Improvment
40.7,4,1,Good,1,2,20,4,Reasonable
299.98,5,1,Satisfied,1,4,10,6,Need_advertisement
39.9,4,1,Good,1,1,20,1,Need_advertisement
148.0,5,1,Satisfied,1,3,20,0,Need_advertisement
34.99,5,1,Satisfied,1,1,20,1,Need_advertisement
40.35,4,10,Good,1,2,20,4,Reasonable
203.06785714285712,5,14,Satisfied,1,4,10,6,Need_advertisement
24.99,5,1,Satisfied,1,1,20,1,Need_advertisement
18.8,5,1,Satisfied,1,1,20,1,Need_advertisement
299.99,5,1,Satisfied,1,4,10,6,Need_advertisement
120.0,3,2,Not Bad,1,3,20,7,Reasonable
42.9,5,1,Satisfied,1,2,20,4,Reasonable
139.6442857142857,3,7,Not Bad,1,3,20,7,Reasonable
109.91428571428573,4,7,Good,1,3,20,7,Reasonable
86.57777777777778,4,9,Good,1,3,20,7,Reasonable
41.14,5,1,Satisfied,1,2,20,4,Reasonable
24.0,4,5,Good,1,1,20,1,Need_advertisement
49.9,5,1,Satisfied,1,2,20,4,Reasonable
42.4,5,4,Satisfied,1,2,20,4,Reasonable
60.0,3,2,Not Bad,1,2,20,2,Quality_Improvment
99.0,2,1,Not Satisfied,1,3,40,5,Not_Reasonable
107.85,2,2,Not Satisfied,1,3,40,5,Not_Reasonable
59.0,5,1,Satisfied,1,2,20,4,Reasonable
76.33333333333333,3,6,Not Bad,1,2,20,2,Quality_Improvment
79.8,5,2,Satisfied,1,3,20,0,Need_advertisement
75.9,5,1,Satisfied,1,2,20,4,Reasonable
139.0,5,1,Satisfied,1,3,20,0,Need_advertisement
49.99,1,1,Not Satisfied,1,2,50,2,Quality_Improvment
159.99,5,5,Satisfied,1,4,10,6,Need_advertisement
50.0,5,3,Satisfied,1,2,20,4,Reasonable
44.9,5,1,Satisfied,1,2,20,4,Reasonable
34.9,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
23.5,5,3,Satisfied,1,1,20,1,Need_advertisement
59.9,5,1,Satisfied,1,2,20,4,Reasonable
195.0,5,2,Satisfied,1,4,10,6,Need_advertisement
23.899999999999995,4,6,Good,1,1,20,1,Need_advertisement
44.9,4,2,Good,1,2,20,4,Reasonable
19.9,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
325.7333333333333,2,6,Not Satisfied,1,4,25,5,Not_Reasonable
229.99,5,1,Satisfied,1,4,10,6,Need_advertisement
34.99,4,8,Good,1,1,20,1,Need_advertisement
54.49,5,3,Satisfied,1,2,20,4,Reasonable
51.9,5,1,Satisfied,1,2,20,4,Reasonable
42.49,4,2,Good,1,2,20,4,Reasonable
99.0,1,1,Not Satisfied,1,3,40,5,Not_Reasonable
51.4,4,1,Good,1,2,20,4,Reasonable
147.0,5,1,Satisfied,1,3,20,0,Need_advertisement
129.9,4,2,Good,1,3,20,7,Reasonable
202.69,3,10,Not Bad,1,4,20,3,Reasonable
73.02,4,2,Good,1,2,20,4,Reasonable
35.81222222222222,4,45,Good,1,1,20,1,Need_advertisement
149.0,5,1,Satisfied,1,3,20,0,Need_advertisement
209.89,5,1,Satisfied,1,4,10,6,Need_advertisement
39.9,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
49.98,4,2,Good,1,2,20,4,Reasonable
6.9,5,2,Satisfied,1,1,20,1,Need_advertisement
21.99,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
26.0,5,1,Satisfied,1,1,20,1,Need_advertisement
34.99,5,1,Satisfied,1,1,20,1,Need_advertisement
122.99,4,2,Good,1,3,20,7,Reasonable
90.0,5,1,Satisfied,1,3,20,0,Need_advertisement
72.9,1,1,Not Satisfied,1,2,50,2,Quality_Improvment
149.9,3,1,Not Bad,1,3,20,7,Reasonable
125.66666666666667,4,3,Good,1,3,20,7,Reasonable
169.9,5,1,Satisfied,1,4,10,6,Need_advertisement
59.9,5,1,Satisfied,1,2,20,4,Reasonable
34.9,5,1,Satisfied,1,1,20,1,Need_advertisement
87.5,4,1,Good,1,3,20,7,Reasonable
34.75,3,2,Not Bad,1,1,20,2,Quality_Improvment
25.0,5,1,Satisfied,1,1,20,1,Need_advertisement
1599.0,2,3,Not Satisfied,1,4,25,5,Not_Reasonable
59.9,5,1,Satisfied,1,2,20,4,Reasonable
199.99,5,1,Satisfied,1,4,10,6,Need_advertisement
89.9,3,1,Not Bad,1,3,20,7,Reasonable
159.99,4,1,Good,1,4,10,3,Reasonable
59.0,4,12,Good,1,2,20,4,Reasonable
45.0,5,1,Satisfied,1,2,20,4,Reasonable
27.9,5,1,Satisfied,1,1,20,1,Need_advertisement
75.93076923076923,4,13,Good,1,2,20,4,Reasonable
669.0,5,1,Satisfied,1,4,10,6,Need_advertisement
425.0,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
39.1,5,5,Satisfied,1,1,20,1,Need_advertisement
46.554,4,5,Good,1,2,20,4,Reasonable
239.0,4,2,Good,1,4,10,3,Reasonable
50.4,3,1,Not Bad,1,2,20,2,Quality_Improvment
140.45555555555558,4,9,Good,1,3,20,7,Reasonable
152.76666666666665,4,3,Good,1,3,20,7,Reasonable
101.9,1,2,Not Satisfied,1,3,40,5,Not_Reasonable
91.55,5,5,Satisfied,1,3,20,0,Need_advertisement
779.0,4,1,Good,1,4,10,3,Reasonable
284.9,5,1,Satisfied,1,4,10,6,Need_advertisement
22.99,4,2,Good,1,1,20,1,Need_advertisement
196.36,4,1,Good,1,4,10,3,Reasonable
149.9,5,2,Satisfied,1,3,20,0,Need_advertisement
129.9,5,1,Satisfied,1,3,20,0,Need_advertisement
39.6,3,1,Not Bad,1,1,20,2,Quality_Improvment
165.9,1,3,Not Satisfied,1,4,25,5,Not_Reasonable
299.98,4,2,Good,1,4,10,3,Reasonable
14.489999999999998,2,2,Not Satisfied,1,1,50,2,Quality_Improvment
21.99,4,1,Good,1,1,20,1,Need_advertisement
124.8,4,1,Good,1,3,20,7,Reasonable
59.99,3,1,Not Bad,1,2,20,2,Quality_Improvment
77.4,5,4,Satisfied,1,2,20,4,Reasonable
120.0,1,1,Not Satisfied,1,3,40,5,Not_Reasonable
139.89,5,1,Satisfied,1,3,20,0,Need_advertisement
199.0,4,1,Good,1,4,10,3,Reasonable
21.99,5,1,Satisfied,1,1,20,1,Need_advertisement
20.193571428571428,5,14,Satisfied,1,1,20,1,Need_advertisement
59.370000000000005,4,14,Good,1,2,20,4,Reasonable
59.9,4,1,Good,1,2,20,4,Reasonable
99.9,5,1,Satisfied,1,3,20,0,Need_advertisement
53.0,4,16,Good,1,2,20,4,Reasonable
39.99,4,2,Good,1,2,20,4,Reasonable
39.4675,4,4,Good,1,1,20,1,Need_advertisement
149.0,2,1,Not Satisfied,1,3,40,5,Not_Reasonable
559.6666666666666,5,3,Satisfied,1,4,10,6,Need_advertisement
371.2,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
147.49,5,4,Satisfied,1,3,20,0,Need_advertisement
